protein	gene	transcript	Transcript.type
ENSP00000000233	ENSG00000004059	ENST00000000233	protein_coding
ENSP00000000412	ENSG00000003056	ENST00000000412	protein_coding
ENSP00000000442	ENSG00000173153	ENST00000000442	protein_coding
ENSP00000001008	ENSG00000004478	ENST00000001008	protein_coding
ENSP00000001146	ENSG00000003137	ENST00000001146	protein_coding
ENSP00000002125	ENSG00000003509	ENST00000002125	protein_coding
ENSP00000002165	ENSG00000001036	ENST00000002165	protein_coding
ENSP00000002501	ENSG00000003249	ENST00000002501	protein_coding
ENSP00000002596	ENSG00000002587	ENST00000002596	protein_coding
